"","HUD.ID.Number","Project.Name","address","Project.City","Project.State","Project.ZIP.Code","County","Total.Number.of.Units","Total.Low.Income.Units","Compliance.Monitoring.Status","borough","block","lot","cd","bct2020","bctcb2020","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcenterdistrict","healtharea","sanitboro","sanitdistrict","sanitsub","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_flag","pfirm15_flag","version","dcpedited","latitude","longitude","notes"
"1","NYA19930215","PHHP SITE #8","611 pennsylvania ave","BROOKLYN","NY",11207,"Kings County",15,15,"Not Indicated","BK",3840,3,305,3112800,31128002001,1128,2001,19,42,11207,"E290",75,33,6300,3,5,"4D","R6","","","","C1-3","","","",NA,"","N","C1",2,0,"X","HPENY HOUSING DEVELOPMENT FUND COMPANY,  INC.",3963,16956,0,16956,0,0,0,0,0,0,2,1,4,15,15,58.67,94.75,50.67,83.67,"N",0,"Y",5,0,69300,800550,800550,1930,0,0,"","",4.28,2.43,0,4.8,3,3038400003,NA,1128,1013930,180554,"17d","","316 038",31208,"",NA,"",1,NA,NA,"25v4","",40.662206,-73.8930211,NA
"2","NYA19940085","BK10-K","1327 hancock st","BROOKLYN","NY",11237,"Kings County",22,11,"Not Indicated","BK",3392,65,304,3043700,30437003000,437,3000,32,37,11237,"E271",83,34,3500,3,4,"3B","R6","","","","","","","",NA,"","N","C2",2,0,"","BISHOP BK, LLC",2500,5250,0,5250,0,0,0,0,0,0,2,1,3,6,6,25,100,25,70,"N",0,"N",5,5,4500,540000,117139,1907,1995,0,"","",2.1,2.43,0,4.8,3,3033920065,NA,437,1009357,192256,"13d","","309 044",31107,"",NA,"",1,NA,NA,"25v4","",40.6943394,-73.9094605,NA
"3","NYA19950165","GREEN AVENUE","763 greene ave","BROOKLYN","NY",11221,"Kings County",41,22,"Not Indicated","BK",1614,58,303,3027900,30279002000,279,2000,16,36,11221,"E214",81,32,2100,3,3,"3B","R6B","","","","","","","",NA,"","N","C1",2,0,"","KLANSTUY REALTY LLC 25%",10000,36000,0,36000,0,0,0,0,0,0,2,2,4,32,32,100,100,100,90,"N",0,"N",5,2,135900,1647000,1206000,1931,1994,0,"","",3.6,2,0,2,3,3016140058,NA,279,1001476,190727,"17a","","305 008",30604,"",3016140058,"12/18/1995",1,NA,NA,"25v4","",40.6901615,-73.9378844,NA
"4","NYA19950200","HOPE EQUITIES","827 lafayette ave","BROOKLYN","NY",11221,"Kings County",65,39,"Not Indicated","BK",1605,76,303,3028100,30281002001,281,2001,16,36,11221,"E214",81,36,1900,3,3,"3B","R6A","R6B","","","C2-4","","","",NA,"","Y","C1",2,0,"X","ECDO CITYWIDE PRESERVATION HOUSING DEVEL OPMENT",11890,28400,0,28400,0,0,0,0,0,0,2,3,4,28,28,118.9,100,70,80,"N",0,"N",5,2,214200,481050,481050,1931,1994,0,"","",2.39,3,0,3,3,3016050076,NA,281,1001057,191208,"17a","","305 008",30604,"",3016050076,"08/18/1998",1,NA,NA,"25v4","",40.6914826,-73.9393941,NA
"5","NYA19970020","21ST CENTURY DEVELOPMENT","861 greene ave","BROOKLYN","NY",11221,"Kings County",37,21,"Not Indicated","BK",1616,95,303,3029100,30291001000,291,1000,16,36,11221,"E214",81,32,2100,3,3,"4B","R6A","","","","","","","",NA,"","N","C1",2,0,"","GREENE LG LLC",3000,7800,0,7800,0,0,0,0,0,0,2,1,4,8,8,30,100,30,60,"N",0,"N",5,2,10350,960300,231099,1931,1995,0,"","",2.6,3,0,3,3,3016160095,NA,291,1002737,190916,"17a","","305 010",30604,"",NA,"",1,NA,NA,"25v4","",40.6906777,-73.9333368,NA
"6","NYA19970220","THROOP COURT","388 throop ave","BROOKLYN","NY",11221,"Kings County",53,52,"Not Indicated","BK",1786,39,303,3026100,30261003000,261,3000,16,36,11221,"L102",79,36,1800,3,3,"3B","R6B","","","","C2-4","","","",NA,"","N","D5",3,0,"X","THROOP COURT LIMITEDPARTNERSHIP",14250,46020,0,46020,0,0,0,0,0,0,2,4,3,54,54,125,120,20,76,"N",0,"Y",3,0,134550,1997550,1997550,1931,1995,0,"","",3.23,2,0,2,3,3017860039,NA,261,1000086,191071,"17a","","305 006",30610,"",NA,"",1,NA,NA,"25v4","",40.6911083,-73.9428958,NA
"7","NYA20000100","GENESIS NEIGHBORHOOD CENTER","360 snediker ave","BROOKLYN","NY",11207,"Kings County",52,52,"Not Indicated","BK",3782,130,305,3113400,31134003001,1134,3001,19,42,11207,"E231",75,33,5900,3,5,"4C","R6","","","","","","","",NA,"","N","D6",4,0,"","GENESIS NP, LP",17980,57105,11816,45289,6600,0,0,0,0,5216,2,1,6,52,53,53.6,190.6,53.6,190.6,"N",1,"Y",5,2,163350,2074500,0,2000,2003,0,"","",3.18,2.43,0,4.8,3,3037820130,NA,1134,1011879,181925,"17d","","316 022",31207,"",3037820019,"01/04/2001",1,NA,NA,"25v4","",40.6659757,-73.9004081,NA
"8","NYA20010060","CLOVER HALL","333 kosciuszko st","BROOKLYN","NY",11221,"Kings County",72,72,"Not Indicated","BK",1782,55,303,3028100,30281003003,281,3002,16,36,11221,"L102",79,36,1900,3,3,"3B","R6B","","","","","","","",NA,"","N","C1",2,0,"X","CLOVER HALL LP   C/O",16000,38740,16180,22560,7180,0,0,0,0,9000,2,1,4,72,72,160,100,160,100,"N",0,"N",5,0,118350,2196900,2196900,2000,0,0,"","",2.42,2,0,2,3,3017820055,NA,281,1000522,191398,"17a","","305 007",30610,"",NA,"",1,NA,NA,"25v4","",40.6920051,-73.9413228,NA
"9","NYA20010120","LINDEN COURT","150 linden st","BROOKLYN","NY",11221,"Kings County",40,39,"Not Indicated","BK",3333,58,304,3041700,30417003000,417,3000,32,37,11221,"E277",83,34,3400,3,4,"2A","R6","","","","C1-3","","","",NA,"","N","D1",3,0,"X","LINDEN CENTRAL ASSOCIATES, L.P.",19716,47119,0,47119,0,0,0,0,0,0,2,1,5,40,40,150,200,149.17,58.5,"N",3,"Y",5,0,265950,1708650,1708650,2001,0,0,"","",2.39,2.43,0,4.8,3,3033330058,NA,417,1007003,192277,"13b","","309 016",31106,"",3033330056,"01/03/2002",1,NA,NA,"25v4","",40.6944034,-73.9179493,NA
"10","NYA20010140","NUEVA VISTA","140 johnson ave","BROOKLYN","NY",11206,"Kings County",23,23,"Not Indicated","BK",3070,10,301,3050500,30505003002,505,3002,14,34,11206,"L108",90,30,1500,3,1,"5B","R6","","","","C2-3","","","",NA,"","N","D1",3,0,"X","140 JOHNSON HOUSING DEVELOPMENT FUND COR PORATION",12500,26219,0,26219,0,0,0,0,0,0,2,1,4,24,24,125,100,113.17,57.92,"N",0,"N",5,0,112500,516150,516150,1999,0,0,"","",2.1,2.43,0,4.8,3,3030700010,NA,505,999765,196602,"13b","","303 040",31004,"",3030700010,"01/04/2000",1,NA,NA,"25v4","",40.7062902,-73.9440406,NA
