"","BOROUGH","TAX.BLOCK","TAX.LOT","bbl","BILLBBL","CD","HOUSE.NUMBER","STREET.NAME","ADDRESS","PARCEL.NAME","AGENCY","USE.CODE","USE.TYPE","OWNERSHIP","CATEGORY","EXPANDED.CATEGORY.CODE","EXPANDED.CATEGORY.DESCRIPTION","LEASED.PROPERTIES","FINAL.COMMITMENT","AGREEMENT","X.COORDINATE","Y.COORDINATE","LATITUDE","LONGITUDE","GEOM","borough","block","lot","cd","bct2020","bctcb2020","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcenterdistrict","healtharea","sanitboro","sanitdistrict","sanitsub","address","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_flag","pfirm15_flag","version","dcpedited","latitude","longitude","notes"
"1",3,1483,36,3014830036,"3,014,830,036",303,"910","MADISON STREET","910 MADISON STREET","FORMER LOTS FOR TOTS PLYGROUND","DCAS",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,006,107","189,893",40.687862,-73.921188,"POINT (-73.921188 40.687862)","BK",1483,36,303,3037500,30375002006,375,2006,16,41,11221,"E222",81,34,3100,3,3,"5A","910 madison st","R6B","","","","","","","",NA,"","N","V0",11,0,"C","NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",4000,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,40,100,0,0,"",0,"N",3,5,13680,13680,13680,0,0,0,"","",0,2,0,2,3,NA,375,1006107,189893,"17a","","305 025",30601,"",NA,"",1,NA,NA,"25v4","t",40.6878622,-73.9211881,NA
"2",3,2245,149,3022450149,"3,022,450,149",301,"","WALTON STREET","WALTON STREET","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","998,093","195,005",40.70191,-73.950074,"POINT (-73.950074 40.70191)","BK",2245,149,301,3050900,30509002003,509,2004,14,33,11206,"E230",90,30,1500,3,1,"4B","walton st","R6A","","","","C2-4","","","",NA,"","N","G7",10,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",1813,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,56.5,85.42,0,0,"",0,"Y",3,5,163800,163800,163800,0,0,0,"","",0,3,0,3,3,NA,509,998093,195005,"13b","","303 033",30803,"E-238",NA,"",1,NA,NA,"25v4","t",40.7019096,-73.9500745,NA
"3",3,2269,52,3022690052,"3,022,690,052",301,"29-31","BARTLETT STREET","29-31 BARTLETT STREET","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","998,859","194,630",40.700879,-73.947313,"POINT (-73.947313 40.700879)","BK",2269,52,301,3050700,30507001008,507,1008,14,33,11206,"E230",90,30,1500,3,1,"4B","31 bartlett st","R7A","","","","C2-4","","","",NA,"","N","V1",11,0,"C","BARTLETT CROSSING HOUSING DEVELOPMENT FU ND COMPANY",5000,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,50,100,0,0,"",0,"N",5,5,643050,643050,643050,0,0,0,"","",0,4,0,4,3,NA,507,998859,194630,"13b","","303 036",30803,"E-238",NA,"",1,NA,NA,"25v4","",40.7008791,-73.9473126,NA
"4",3,4348,50,3043480050,"3,043,480,050",305,"881","NEW JERSEY AVENUE","881 NEW JERSEY AVENUE","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","1,015,076","179,065",40.658115,-73.888897,"POINT (-73.888897 40.658115)","BK",4348,50,305,3110400,31104002007,1104,2007,19,42,11207,"L103",75,33,6420,3,5,"4D","881 new jersey ave","R5","","","","","","","",NA,"","N","V0",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2367,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,23.67,100,0,0,"",0,"N",5,5,13920,13920,13920,0,0,0,"","",0,1.5,0,2,3,NA,1104,1015076,179065,"17d","","317 015",31402,"",NA,"",1,NA,NA,"25v4","t",40.6581151,-73.8888973,NA
"5",3,4076,25,3040760025,"3,040,760,025",305,"872","DUMONT AVENUE","872 DUMONT AVENUE","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","1,015,803","182,402",40.667272,-73.886261,"POINT (-73.886261 40.667272)","BK",4076,25,305,3112400,31124002000,1124,2000,19,42,11207,"E225",75,33,6420,3,5,"4E","dumont ave","R5","","","","","","","",NA,"","N","V0",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,25,100,0,0,"",0,"N",3,5,15420,15420,15420,0,0,0,"","",0,1.5,0,2,3,NA,1124,1015803,182402,"17d","","308 006",31304,"",3040760135,"07/30/2004",1,NA,NA,"25v4","t",40.6672718,-73.8862614,NA
"6",3,2269,18,3022690018,"3,022,690,018",301,"76","GERRY STREET","76 GERRY STREET","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","S","998,954","194,844",40.701467,-73.94697,"POINT (-73.94697 40.701467)","BK",2269,18,301,3050700,30507001008,507,1008,14,33,11206,"E230",90,30,1500,3,1,"4B","76 gerry st","R7A","","","","","","","",NA,"","N","V0",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,25,100,0,0,"",0,"N",5,5,40140,40140,40140,0,0,0,"","",0,4,0,4,3,NA,507,998954,194844,"13b","","303 036",30803,"E-238",NA,"",1,NA,NA,"25v4","t",40.7014663,-73.9469696,NA
"7",3,2269,41,3022690041,"3,022,690,041",301,"53","BARTLETT STREET","53 BARTLETT STREET","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","999,078","194,817",40.701392,-73.946522,"POINT (-73.946522 40.701392)","BK",2269,41,301,3050700,30507001008,507,1008,14,33,11206,"E230",90,30,1500,3,1,"4B","53 bartlett st","R7A","","","","","","","",NA,"","N","Z9",NA,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,25,100,0,0,"N",0,"N",5,0,64800,64800,64800,0,0,0,"","",0,4,0,4,3,NA,507,999078,194817,"13b","","303 036",30803,"E-238",NA,"",1,NA,NA,"25v4","t",40.701392,-73.9465224,NA
"8",3,3801,3,3038010003,"3,038,010,003",305,"435","HINSDALE STREET","435 HINSDALE STREET","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","1,012,419","181,352",40.664402,-73.898464,"POINT (-73.898464 40.664402)","BK",3801,3,305,3113000,31130001002,1130,1002,19,42,11207,"E231",75,33,6300,3,5,"4C","hinsdale st","R7A","R6","","","C2-4","","","",NA,"","Y","V1",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",5000,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,50,100,0,0,"",0,"N",5,5,281700,281700,281700,0,0,0,"","",0,4,0,4,3,NA,1130,1012419,181352,"17d","","316 030",31207,"",NA,"",1,NA,NA,"25v4","t",40.6644012,-73.898464,NA
"9",3,3722,3,3037220003,"3,037,220,003",305,"287","NEW JERSEY AVENUE","287 NEW JERSEY AVENUE","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","1,013,450","184,351",40.67263,-73.894735,"POINT (-73.894735 40.67263)","BK",3722,3,305,3114400,31144003001,1144,3001,19,42,11207,"L175",75,33,5700,3,5,"1C","287 new jersey ave","R5B","","","","","","","",NA,"","N","V0",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,25,100,0,0,"",0,"N",5,5,15960,15960,15960,0,0,0,"","",0,1.5,0,2,3,NA,1144,1013450,184351,"17c","","316 018",31206,"",NA,"",1,NA,NA,"25v4","t",40.6726295,-73.8947348,NA
"10",3,3097,13,3030970013,"3,030,970,013",301,"112","SEIGEL STREET","112 SEIGEL STREET","FORMER HOOK AND LADDER CO. #108","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","1,000,364","195,891",40.704338,-73.941882,"POINT (-73.941882 40.704338)","BK",3097,13,301,3049100,30491002000,491,2000,14,34,11206,"L108",90,30,1500,3,1,"5B","112 seigel st","R6","","","","","","","",NA,"","N","V0",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,25,100,0,0,"",0,"N",5,5,23460,23460,23460,0,0,0,"","",0,2.43,0,4.8,3,NA,491,1000364,195891,"13b","","303 043",31005,"",NA,"",1,NA,NA,"25v4","t",40.7043376,-73.9418818,NA
