"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYA00000154","ST JOHNS PLACE","1228 ST JOHNS PL","BROOKLYN","NY","11213","Kings County","48","22","Not Indicated"
"NYA19910070","1921-1925 FULTON ST HOUSING DEVELOPMENT","1921 FULTON ST","BROOKLYN","NY","11233","Kings County","36","36","Not Indicated"
"NYA19920060","AFFORDABLE DWELLING UNIT","1126 FULTON ST","BROOKLYN","NY","11238","Kings County","12","12","Not Indicated"
"NYA19920065","BEC NEW COMMUNITIES HDFC","1440 BEDFORD AVE","BROOKLYN","NY","11216","Kings County","31","31","Not Indicated"
"NYA19920075","BK-Y PHASE II","646 CLASSON AVE","BROOKLYN","NY","11238","Kings County","32","19","Not Indicated"
"NYA19920215","LUIS DOMENECH TERRACE","366 HEWES ST","BROOKLYN","NY","11211","Kings County","52","52","Not Indicated"
"NYA19920280","ST MARKS HOUSE PHASE II","500 MONTGOMERY ST","BROOKLYN","NY","11225","Kings County","82","82","Not Indicated"
"NYA19920300","WILLAMSBURG COURT","330 UNION AVE","BROOKLYN","NY","","Kings County","59","59","Not Indicated"
"NYA19930005","1064 DEVELOPMENT","1064 WILLMOHR ST","BROOKLYN","NY","11212","Kings County","12","7","Not Indicated"
"NYA19930110","EAST NEW YORK","2715 PITKIN AVE","BROOKLYN","NY","11208","Kings County","59","59","Not Indicated"
"NYA19930190","MERCY HOME SINGLE ROOM OCCUPANCY","249 CLASSON AVE","BROOKLYN","NY","11205","Kings County","78","78","Not Indicated"
"NYA19930215","PHHP SITE #8","611 PENNSYLVANIA AVE","BROOKLYN","NY","11207","Kings County","15","15","Not Indicated"
"NYA19940020","1610 ASSOC","1610 ST JOHNS PL","BROOKLYN","NY","11233","Kings County","33","32","Not Indicated"
"NYA19940070","BK- 9A PARTNERS","1023 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","22","11","Not Indicated"
"NYA19940075","BK-12G","2343 PACIFIC ST","BROOKLYN","NY","11233","Kings County","39","22","Not Indicated"
"NYA19940080","BK-6A","1566 EASTERN PKWY","BROOKLYN","NY","11233","Kings County","64","32","Not Indicated"
"NYA19940085","BK10-K","1327 HANCOCK ST","BROOKLYN","NY","11237","Kings County","22","11","Not Indicated"
"NYA19940175","MACON STREET APTS","4 MACON ST","BROOKLYN","NY","11216","Kings County","23","11","Not Indicated"
"NYA19940305","TIFFANY MEWS APTS","63 TIFFANY PL","BROOKLYN","NY","11231","Kings County","69","69","Not Indicated"
"NYA19950080","BK 12F","373 SUMPTER ST","BROOKLYN","NY","11233","Kings County","21","11","Not Indicated"
"NYA19950155","FIFTH AVENUE COMMITTEE INC HOUSING","77 GARFIELD PL","BROOKLYN","NY","11215","Kings County","36","21","Not Indicated"
"NYA19950165","GREEN AVENUE","763 GREENE AVE","BROOKLYN","NY","11221","Kings County","41","22","Not Indicated"
"NYA19950175","HFA #10","1105 MADISON ST","BROOKLYN","NY","11221","Kings County","18","18","Not Indicated"
"NYA19950185","HFA #13","160 HARMAN ST","BROOKLYN","NY","11221","Kings County","42","41","Not Indicated"
"NYA19950200","HOPE EQUITIES","827 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","65","39","Not Indicated"
"NYA19950285","NOSTRAND AVENUE","480 NOSTRAND AVE","BROOKLYN","NY","11216","Kings County","25","13","Not Indicated"
"NYA19960030","1544 PARK PL","1544 PARK PL","BROOKLYN","NY","11213","Kings County","34","33","Not Indicated"
"NYA19960035","166 BROOKLYN AVE","166 BROOKLYN AVE","BROOKLYN","NY","11213","Kings County","24","24","Not Indicated"
"NYA19960070","996 HEGEMAN APTS","996 HEGEMAN AVE","BROOKLYN","NY","11208","Kings County","24","13","Not Indicated"
"NYA19960085","BEDFORD COMMUNITY DEVELOPMENT CORP","2255 BEDFORD AVE","BROOKLYN","NY","11226","Kings County","45","45","Not Indicated"
"NYA19960090","BK 12 E CORP","365 LINCOLN PL","BROOKLYN","NY","11238","Kings County","54","51","Not Indicated"
"NYA19960125","CHEEVER/CARROLL GARDEN","296 COLUMBIA ST","BROOKLYN","NY","11231","Kings County","14","14","Not Indicated"
"NYA19960205","HPD/PLP/HOME PROGRAM","1452 BEDFORD AVE","BROOKLYN","NY","11216","Kings County","8","8","Not Indicated"
"NYA19960235","MARTENSE STREET APTS","293 MARTENSE ST","BROOKLYN","NY","11226","Kings County","26","26","Not Indicated"
"NYA19960260","PARK TERRACE APTS","702 E 103RD ST","BROOKLYN","NY","11236","Kings County","72","71","Not Indicated"
"NYA19960275","REST HOUSE","165 CONOVER ST","BROOKLYN","NY","11231","Kings County","36","36","Not Indicated"
"NYA19960280","ROCKAWAY AVENUE PROJECT","181 ROCKAWAY AVE","BROOKLYN","NY","11233","Kings County","44","25","Not Indicated"
"NYA19960310","WOODRUFF PROJECT","165 WOODRUFF AVE","BROOKLYN","NY","11226","Kings County","27","27","Not Indicated"
"NYA19970020","21ST CENTURY DEVELOPMENT","861 GREENE AVE","BROOKLYN","NY","11221","Kings County","37","21","Not Indicated"
"NYA19970030","353 & 357 S 3RD ST PROJECT","353 S THIRD ST","BROOKLYN","NY","11211","Kings County","60","60","Not Indicated"
"NYA19970065","BALFOUR COURT APTS","1470 STERLING PL","BROOKLYN","NY","11213","Kings County","94","93","Not Indicated"
"NYA19970070","BKLE VACANT BLD","903 SARATOGA AVE","BROOKLYN","NY","11212","Kings County","61","36","Not Indicated"
"NYA19970120","HFA #15","41 WHIPPLE ST","BROOKLYN","NY","11206","Kings County","51","50","Not Indicated"
"NYA19970220","THROOP COURT","388 THROOP AVE","BROOKLYN","NY","11221","Kings County","53","52","Not Indicated"
"NYA19980100","ELTON COURT","335 ELTON ST","BROOKLYN","NY","11208","Kings County","40","39","Not Indicated"
"NYA19980230","WARREN STREET SUPPORTIVE HOUSING","551 WARREN ST","BROOKLYN","NY","11217","Kings County","68","67","Not Indicated"
